,permit_id,issued,cost,lat,lng
88,2017062043,2017-09-25,15000.0,36.120449,-86.84146
89,2017050503,2017-08-02,168975.0,36.100634,-86.862686
90,2017068480,2017-11-14,400000.0,36.000682,-86.69302900000001
91,2017069253,2017-10-27,226877.0,36.196702,-86.724634
92,2017038922,2017-06-15,167060.0,36.050546999999995,-86.58988599999999
93,2017003906,2017-02-10,304090.0,36.167302,-86.623198
94,2016072848,2017-01-03,40000.0,36.125903,-86.79548199999999
95,2017071484,2017-12-27,307197.0,36.087527,-86.923376
96,2017017003,2017-03-14,202770.0,36.160827000000005,-86.852522
97,2017028009,2017-05-09,146783.0,36.179327,-86.59572
98,2017046320,2017-07-17,19000.0,36.262502000000005,-86.646212
99,2017073401,2017-11-21,269909.0,36.203272999999996,-86.732888
100,2017060413,2017-09-18,20000.0,36.236858000000005,-86.765097
101,2017033614,2017-05-22,30000.0,36.114251,-86.813896
102,2017047063,2017-07-27,7144.0,36.173790999999994,-86.79833
103,2017046004,2017-08-04,216063.0,36.257608000000005,-86.772315
104,2017018239,2017-03-17,120000.0,36.072688,-86.716736
105,2017073277,2017-11-14,52600.0,36.082963,-86.731107
106,2016072752,2017-01-03,249632.0,36.157579999999996,-86.850436
107,2017014473,2017-03-15,4000.0,36.19907,-86.727929
108,2017013628,2017-10-27,2659028.0,36.152934,-86.801775
109,2016066369,2017-03-22,600000.0,36.162723,-86.775724
110,2017045529,2017-07-21,2302.0,36.236514,-86.814252
111,2017074635,2017-12-04,192326.0,36.095721999999995,-86.63395
112,2017027154,2017-04-27,2000.0,36.164172,-86.772104
113,2017052330,2017-08-09,5000.0,36.052382,-86.76109
114,2017013451,2017-02-28,288835.0,36.114108,-86.794574
115,2017049184,2017-08-01,269684.0,36.131095,-86.816425
116,2017047073,2017-08-22,165708.0,36.203964,-86.741792
117,2017040934,2017-06-21,8000.0,36.094853,-86.749601
118,2017038776,2017-06-13,24000.0,36.182456,-86.816689
119,2017046309,2017-09-28,201161.0,36.08938,-86.650165
120,2017058723,2017-09-11,53556.0,36.115708000000005,-86.882752
121,2017037006,2017-06-19,156020.0,36.162106,-86.859507
122,2017029471,2017-05-04,4000.0,36.194396999999995,-86.779061
123,2017033605,2017-06-02,15000.0,36.125763,-86.809523
124,2017053699,2017-08-18,5900.0,36.14071,-86.88271999999999
125,2017022950,2017-04-17,376138.0,36.103187,-86.808813
126,2017080538,2017-12-19,262587.0,36.066832,-86.936258
127,2017014178,2017-03-28,1050000.0,36.166264,-86.77925
128,2017046570,2017-08-09,136982.0,36.126061,-86.908526
129,2017034573,2017-08-04,1725.0,35.987832,-86.666046
130,2016055879,2017-01-05,2584599.0,36.177296999999996,-86.783293
131,2017025676,2017-04-19,18043.0,36.126608000000004,-86.806145
132,2017019727,2017-03-24,62484.0,36.127933,-86.712785
133,2017059939,2017-09-26,187337.0,36.159304,-86.83756
134,2016065255,2017-02-07,2000000.0,36.154305,-86.806915
135,2017000506,2017-01-04,225300.0,36.173345,-86.802212
136,2017044138,2017-07-21,1722.0,36.237373999999996,-86.814452
137,2017039578,2017-06-15,1000.0,36.237484,-86.724328
138,2017071849,2017-11-14,150000.0,36.244440999999995,-86.902511
139,2017041020,2017-06-30,145994.0,36.25777,-86.772297
140,2017013350,2017-03-14,15000.0,36.127639,-86.740408
141,2017029580,2017-06-05,74912.0,36.168017,-86.795725
142,2017073708,2017-11-15,2000.0,36.282129,-86.691973
143,2017036519,2017-06-13,70000.0,36.205873,-86.736928
144,2017029823,2017-05-05,26700.0,36.152791,-86.796415
145,2017020265,2017-03-27,51300.0,36.207689,-86.594337
146,2017000335,2017-01-05,44258.0,36.106489,-86.52779100000001
147,2017061359,2017-09-20,2790.0,36.164608,-86.865073
148,2017020997,2017-05-09,10000.0,36.212059,-86.765051
149,2017011212,2017-02-16,43469.0,36.140824,-86.855932
150,2016069616,2017-08-28,154417.0,36.180645,-86.78386400000001
151,2017007723,2017-02-16,44291.0,36.140627,-86.769504
152,2016064424,2017-01-11,10000.0,36.196708,-86.774026
153,2017073253,2017-11-14,2000.0,36.183956,-86.81575699999999
154,2017008619,2017-02-06,115190.0,36.230634,-86.668497
155,2017044407,2017-07-07,268107.0,36.14589,-86.786119
156,2017006077,2017-02-01,272162.0,36.201575,-86.720297
157,2017045886,2017-08-07,411285.0,36.031492,-86.734218
158,2017018092,2017-03-16,5000.0,36.178075,-86.812698
159,2017055711,2017-09-13,6000.0,36.077431,-86.945077
160,2017032949,2017-05-18,45000.0,36.165273,-86.777299
161,2017018575,2017-03-20,45000.0,36.084261,-86.81254399999999
162,2017004248,2017-02-03,573952.0,36.106699,-86.83466700000001
163,2017020439,2017-03-29,10600.0,36.374871999999996,-86.753754
